meaning	kaomoji
お悩み	(ｏ´_｀ｏ)
スマン	(^∧^)
すみません	m(_ _)m
反省	＼(__ )
泣ける話だ	(>_<)
しまった！	(>_<)
がっかり（ガ～ン）	(+д+)
ガーン	（￣□￣；）
ガーン（ショック）	(lll￣□￣)
ファイト！	p(^^)q
イップク	(-o-)y-~~~
イップク	(^_^)y-~~~
イップク（どや顔）	(’A`)y-~
メモメモ	φ(..)
メモメモ	φ(｀д´)
メモメモ	φ(^o^)
バルタン星人	Vo￥oV
猫	(ΦωΦ)
犬	U^ｪ^U
クマ	(*￣(ｴ)￣*)
カンパーイ！	( ^_^)／□☆□＼(^_^ )
赤ちゃん誕生！	( ^_^)／ o(^o^)o ＼(^_^ )
いない いない バァ	(／＼) ＼(^o^)／
サヨナラー	(^_^)/~~~
スマイル	(^_^)
スマイル	(^o^)
スマイル	(^^)
スマイル	(^-^)
スマイル	（●＾o＾●）
スマイル	（＾◇＾）
スマイル	(*^_^*)
ほほえみ	(*´ｰ`)
照れ顔	(*´∀｀*)
照れ顔	(*´ω｀*)
照れ顔（リアクション）	(*´艸｀*)
照れ顔（イヤン）	(/ω＼)
ピース	(^_^)V
ピース	(^o^)V
バンザイ（やったぁ～）	ヽ(=´▽`=)ﾉ
ワクワク	o(^o^)o
みんなにあいさつ	＼(^_^ )( ^_^)／
それは私です	σ(^_^)
それは私です	σ(´∀｀)
ピンポーン当たり！	!(^^)!
ポリポリ	(^^ゞ
キャハハ	(^Q^)/
了解	(^^ゝ
おねがいします	(^人^)
ウインク	(^_-)-☆
チュッ！	(^з^)-☆
びっくり（スバラシイ）	＼(◎o◎)／
ナニ？ソレ？	(@_@)
ナニ？ソレ？	(＠_＠;)
どうしたの？	(# ﾟДﾟ)
ジー	( ・_・)
目が点（きょとーん）	(・_・)
目が点（ぽかーん）	(・o・)
目が点（ポッ）	(｡･･｡)
目が点（興味なし）	(゜_゜)
オイッ（つっこみ）	(`_`)ノ゛
・・・。グッジョブ！	(￣ー￣)ｂ
冷や汗タラリ（お困り）	(^-^;
冷や汗タラリ（お困り）	(-_-;)
冷や汗タラリ（お困り）	(=_=;)
まいったな（お困り）	(ﾉ´Д`)
冷や汗タラリ（ため息）	(-o-;)
冷や汗タラリ（いい加減な私）	(^^;)
冷や汗タラリ（いい加減な私）	(^_^;)
冷や汗タラリ（いい加減な私）	(^o^;)
その場から逃げる	…(((;^^)
ごまかし顔	(ﾟεﾟ*)
知らんぷり	♪～(￣ε￣；)
あくび	(~o~)m
眠りかけ	(-.-)zzZZ
居眠り	(-_-)zzZZ
まぶしい	(+_+)
モジモジ	( ..)ヾ
恥じカイタ．．	(o-_-o)
たいへん！	ヽ(#ﾟДﾟ)ﾉ
ヤクザ（ピクピク）	(-_-メ)
ムカッ	(ーー゛)
ムカッ（イラつき）	(-’’-)
ムカつくー！	(｀´）
こらっ！(怒り)	ヽ(#｀Д´#)ﾉ
ふん！	(￣へ￣井)
まったくもう！	(-ε´-。)
え…、そっち？	(￣д￣)
それが なにか？	( ´Д｀)
お手上げ	(ﾉ´□｀)ﾉ
お手上げ	ヽ(*´Д｀*)ﾉ
やれやれ (お手上げ)	┐(´～`；)┌
やれやれ（お困り）	(#´Д｀#)
やってられない	ヽ(￣▽￣)ﾉ
硬直	(*_*)
無視	( -_-)
聞こえませーん	｜(-_-)｜
しくしく（ホロリ泣き）	(;_;)
しくしく（おお泣き）	(T_T)
しくしく（悲しい）	(/_;)
しくしく（泣ける話だ）	(ﾉдヽ)
しくしく（泣き顔）	(TдT)
お困り	(ﾉ´□｀)
大変なことに… (お困り)	ヽ(;´Д`)ノ
お悩み	(ｏ´_｀ｏ)
スマン	(^∧^)
すみません	m(_ _)m
反省	＼(__ )
泣ける話だ	(>_<)
しまった！	(>_<)
がっかり（ガ～ン）	(+д+)
ガーン	（￣□￣；）
ガーン（ショック）	(lll￣□￣)
ファイト！	p(^^)q
イップク	(-o-)y-~~~
イップク	(^_^)y-~~~
イップク（どや顔）	(’A`)y-~
メモメモ	φ(..)
メモメモ	φ(｀д´)
メモメモ	φ(^o^)
バルタン星人	Vo￥oV
猫	(ΦωΦ)
犬	U^ｪ^U
クマ	(*￣(ｴ)￣*)
カンパーイ！	( ^_^)／□☆□＼(^_^ )
赤ちゃん誕生！	( ^_^)／ o(^o^)o ＼(^_^ )
いない いない バァ	(／＼) ＼(^o^)／
サヨナラー	(^_^)/~~~
